dataset,seed,k,auc,max_occ
slashdot090221,42,128,0.8979959954803831,43823
slashdot090221,42,256,0.897999331013374,43823
slashdot090221,42,512,0.8980011162816,43823
slashdot090221,42,1024,0.8980009305530584,43823
slashdot090221,43,1,0.8845571273740969,21628
slashdot090221,43,2,0.8894754598432113,21628
slashdot090221,43,4,0.8916212963426162,21628
slashdot090221,43,8,0.8930510971966656,21628
slashdot090221,43,16,0.8933449889237942,21628
slashdot090221,43,32,0.8934531814848112,21628
slashdot090221,43,64,0.8935166930652624,21628
slashdot090221,43,128,0.8935284053345149,21628
slashdot090221,43,256,0.893531780666479,21628
slashdot090221,43,512,0.8935297603947925,21628
slashdot090221,43,1024,0.8935306056491754,21628
slashdot090221,44,1,0.8872663647711134,44294
slashdot090221,44,2,0.8914741718574697,44294
slashdot090221,44,4,0.8943465092369891,44294
slashdot090221,44,8,0.8952466890457176,44294
slashdot090221,44,16,0.8956832724104549,44294
slashdot090221,44,32,0.8958526596831271,44294
slashdot090221,44,64,0.8958798802855984,44294
slashdot090221,44,128,0.895876760804176,44294
slashdot090221,44,256,0.8958799560931664,44294
slashdot090221,44,512,0.895881549947283,44294
slashdot090221,44,1024,0.8958808013475492,44294
slashdot090221,45,1,0.8887558129148365,20573
slashdot090221,45,2,0.8926790270198716,20573
slashdot090221,45,4,0.8952662957255804,20573
slashdot090221,45,8,0.8963333270438321,20573
slashdot090221,45,16,0.8967434611481021,20573
slashdot090221,45,32,0.8968357682332495,20573
slashdot090221,45,64,0.8968967269938493,20573
slashdot090221,45,128,0.8969302964801387,20573
slashdot090221,45,256,0.896927696280557,20573
slashdot090221,45,512,0.8969287424249951,20573
slashdot090221,45,1024,0.8969269003010933,20573
slashdot090221,46,1,0.8892962431717566,22258
slashdot090221,46,2,0.894127842307159,22258
slashdot090221,46,4,0.8965732570488851,22258
slashdot090221,46,8,0.8974627261958532,22258
slashdot090221,46,16,0.8978989807452644,22258
slashdot090221,46,32,0.8980786825851543,22258
slashdot090221,46,64,0.89807159078717,22258
slashdot090221,46,128,0.8980694681752666,22258
slashdot090221,46,256,0.898076559973251,22258
slashdot090221,46,512,0.898074604137997,22258
slashdot090221,46,1024,0.8980748656741067,22258
slashdot090221,47,1,0.8871733052958539,29669
slashdot090221,47,2,0.8918005660793684,29669
slashdot090221,47,4,0.8943649456375212,29669
slashdot090221,47,8,0.8951584831499979,29669
slashdot090221,47,16,0.8957818838424743,29669
slashdot090221,47,32,0.8959981381964535,29669
slashdot090221,47,64,0.8959711241696047,29669
slashdot090221,47,128,0.8959938664399981,29669
slashdot090221,47,256,0.8959953844865468,29669
slashdot090221,47,512,0.8959942985431354,29669
slashdot090221,47,1024,0.8959974616139093,29669
slashdot090221,48,1,0.8893815806986229,29616
slashdot090221,48,2,0.8940635953932985,29616
slashdot090221,48,4,0.8963927421728287,29616
slashdot090221,48,8,0.8974483549761539,29616
slashdot090221,48,16,0.8978070744926326,29616
slashdot090221,48,32,0.8979128004649066,29616
slashdot090221,48,64,0.8979924476862018,29616
slashdot090221,48,128,0.8980195830051592,29616
slashdot090221,48,256,0.8980149644290802,29616
slashdot090221,48,512,0.8980159783553018,29616
slashdot090221,48,1024,0.8980162493673575,29616
slashdot090221,49,1,0.8877739191809908,29955
slashdot090221,49,2,0.8914748948721495,29955
slashdot090221,49,4,0.8935181371994324,29955
slashdot090221,49,8,0.8945253298139012,29955
slashdot090221,49,16,0.8946171214075864,29955
slashdot090221,49,32,0.8948814756634471,29955
