dataset,model,src_ent,tgt_ent,auc,n_eff
bitcoin-alpha,Pewter (full attn),0.125,0.8333333333333333,0.7010358105671367,146.2618448821992
bitcoin-alpha,Pewter (full attn),0.125,0.875,0.6905425266635591,134.9612644912438
bitcoin-alpha,Pewter (full attn),0.125,0.9166666666666666,0.6798505241315702,122.93287241120315
bitcoin-alpha,Pewter (full attn),0.125,0.9583333333333333,0.6685306074374515,110.43543660293498
bitcoin-alpha,Pewter (full attn),0.125,1.0,0.6566036889487087,98.37784736786676
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.0,0.9951714349021012,1341.3229438385488
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.041666666666666664,0.9942681962466736,1393.5997215918794
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.08333333333333333,0.9925124382397273,1449.2129613379846
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.125,0.9892875627286221,1489.1835433696342
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.16666666666666666,0.9838289131381536,1473.6584171354657
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.20833333333333331,0.9753878990007414,1357.2367058708326
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.25,0.9634463482101894,1143.5684168168727
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.29166666666666663,0.9479456916521983,903.3785153376698
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.3333333333333333,0.9293945467195729,703.1281583694094
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.375,0.9086425547051273,560.0518301362167
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.41666666666666663,0.8864225958720312,462.7291672819793
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.4583333333333333,0.8631037458085592,395.8393159814258
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.5,0.8389274228221071,348.2812361312
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.5416666666666666,0.8145153331102253,312.65387887610484
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.5833333333333333,0.7910374524631832,282.9340477886042
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.625,0.7696842706959365,254.04969995472348
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.6666666666666666,0.7511507582850463,224.64262962693022
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.7083333333333333,0.735772524888367,198.0871391248441
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.75,0.7236069771615666,177.80769719531267
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.7916666666666666,0.7141095211253365,163.58908754406795
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.8333333333333333,0.7061193048582032,152.62894527698714
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.875,0.6983642053317324,142.01681691262664
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.9166666666666666,0.6899715336335408,130.32937656233125
bitcoin-alpha,Pewter (full attn),0.16666666666666666,0.9583333333333333,0.6806333510696367,117.78909464339701
bitcoin-alpha,Pewter (full attn),0.16666666666666666,1.0,0.6704801128425475,105.38606687083099
bitcoin-alpha,Pewter (full attn),0.20833333333333331,0.0,0.988931171699854,1266.701633483324
