run_name,epoch,val_auc
slashdot-neg_emphasis_20260430-130306,2,0.8197
slashdot-neg_emphasis_20260430-130306,3,0.8257
slashdot-neg_emphasis_20260430-130306,4,0.8376
slashdot-neg_emphasis_20260430-130306,5,0.8428
slashdot-neg_emphasis_20260430-130306,6,0.8504
slashdot-neg_emphasis_20260430-130306,7,0.8536
slashdot-neg_emphasis_20260430-130306,8,0.8616
slashdot-neg_emphasis_20260430-130306,9,0.8621
slashdot-neg_emphasis_20260430-130306,10,0.8691
slashdot-neg_emphasis_20260430-130306,11,0.8679
slashdot-neg_emphasis_20260430-130306,12,0.8683
slashdot-neg_emphasis_20260430-130306,13,0.8727
slashdot-neg_emphasis_20260430-130306,14,0.8724
slashdot-neg_emphasis_20260430-130306,15,0.8682
slashdot-neg_emphasis_20260430-130306,16,0.8826
slashdot-neg_emphasis_20260430-130306,17,0.8851
slashdot-neg_emphasis_20260430-130306,18,0.8825
slashdot-neg_emphasis_20260430-130306,19,0.8782
slashdot-neg_emphasis_20260430-130306,20,0.8864
slashdot-neg_emphasis_20260430-130306,21,0.8838
slashdot-neg_emphasis_20260430-130306,22,0.8845
slashdot-neg_emphasis_20260430-130306,23,0.8843
slashdot-neg_emphasis_20260430-130306,24,0.8881
slashdot-neg_emphasis_20260430-130306,25,0.8882
slashdot-neg_emphasis_20260430-130306,26,0.8902
slashdot-neg_emphasis_20260430-130306,27,0.8888
slashdot-neg_emphasis_20260430-130306,28,0.892
slashdot-neg_emphasis_20260430-130306,29,0.8891
slashdot-neg_emphasis_20260430-130306,30,0.8912
slashdot-neg_emphasis_20260430-130306,31,0.8848
slashdot-neg_emphasis_20260430-130306,32,0.8878
slashdot-neg_emphasis_20260430-130306,33,0.8882
slashdot-neg_emphasis_20260430-130306,34,0.8912
slashdot-neg_emphasis_20260430-130306,35,0.8899
slashdot-neg_emphasis_20260430-130306,36,0.8884
slashdot-neg_emphasis_20260430-130306,37,0.8903
slashdot-neg_emphasis_20260430-130306,38,0.8946
slashdot-neg_emphasis_20260430-130306,39,0.8934
slashdot-neg_emphasis_20260430-130306,40,0.8921
slashdot-neg_emphasis_20260430-130306,41,0.8924
slashdot-neg_emphasis_20260430-130306,42,0.8924
slashdot-neg_emphasis_20260430-130306,43,0.8923
slashdot-neg_emphasis_20260430-130306,44,0.8924
slashdot-neg_emphasis_20260430-130306,45,0.8915
slashdot-neg_emphasis_20260430-130306,46,0.8925
slashdot-neg_emphasis_20260430-130306,47,0.8927
slashdot-neg_emphasis_20260430-130306,48,0.8924
slashdot-neg_emphasis_20260430-130306,49,0.8926
slashdot-neg_traversal_20260430-140231,0,0.7996
slashdot-neg_traversal_20260430-140231,1,0.8109
slashdot-neg_traversal_20260430-140231,2,0.8196
slashdot-neg_traversal_20260430-140231,3,0.8257
slashdot-neg_traversal_20260430-140231,4,0.8366
slashdot-neg_traversal_20260430-140231,5,0.8423
slashdot-neg_traversal_20260430-140231,6,0.8502
slashdot-neg_traversal_20260430-140231,7,0.8531
slashdot-neg_traversal_20260430-140231,8,0.8611
slashdot-neg_traversal_20260430-140231,9,0.8617
slashdot-neg_traversal_20260430-140231,10,0.8684
slashdot-neg_traversal_20260430-140231,11,0.8671
slashdot-neg_traversal_20260430-140231,12,0.8682
slashdot-neg_traversal_20260430-140231,13,0.8723
slashdot-neg_traversal_20260430-140231,14,0.8706
slashdot-neg_traversal_20260430-140231,15,0.863
slashdot-neg_traversal_20260430-140231,16,0.8826
slashdot-neg_traversal_20260430-140231,17,0.8854
slashdot-neg_traversal_20260430-140231,18,0.8827
slashdot-neg_traversal_20260430-140231,19,0.8769
slashdot-neg_traversal_20260430-140231,20,0.8866
slashdot-neg_traversal_20260430-140231,21,0.8839
slashdot-neg_traversal_20260430-140231,22,0.8839
slashdot-neg_traversal_20260430-140231,23,0.8853
slashdot-neg_traversal_20260430-140231,24,0.8884
slashdot-neg_traversal_20260430-140231,25,0.8878
slashdot-neg_traversal_20260430-140231,26,0.8903
slashdot-neg_traversal_20260430-140231,27,0.8887
slashdot-neg_traversal_20260430-140231,28,0.892
slashdot-neg_traversal_20260430-140231,29,0.8885
slashdot-neg_traversal_20260430-140231,30,0.8912
slashdot-neg_traversal_20260430-140231,31,0.8839
slashdot-neg_traversal_20260430-140231,32,0.8861
slashdot-neg_traversal_20260430-140231,33,0.8869
slashdot-neg_traversal_20260430-140231,34,0.8907
slashdot-neg_traversal_20260430-140231,35,0.8892
slashdot-neg_traversal_20260430-140231,36,0.8876
