term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,seed,scale,p_fdr
src_in,2345,-1.4139893511220756,-0.3490471129228964,0.38804877670071014,0.4554514435430645,-3.1045885816549794,0.001905438618841293,0.2431712500526646,"cluster_2way(u,v)",0.47144656812597563,0.9424307036247335,bitcoin-alpha,43,raw,0.0025405848251217242
tgt_out,2345,0.6566168502276808,0.1809341304906371,0.35751203422922684,0.3543760165460886,1.8528817402130375,0.06389931085260159,1.9282577022089094,"cluster_2way(u,v)",0.47144656812597563,0.9424307036247335,bitcoin-alpha,43,raw,0.06389931085260159
tgt_in,2345,-5.047642944133612,-1.3269361015250163,0.36204865689578897,0.362585098101867,-13.921264195792995,0.0,0.006424458421458782,"cluster_2way(u,v)",0.47144656812597563,0.9424307036247335,bitcoin-alpha,43,raw,0.0
const,2345,4.55444830329063,,0.22299563992256907,0.19675060271578332,23.14833215464032,0.0,95.05429962280061,"cluster_2way(u,v)",0.47144656812597563,0.9424307036247335,bitcoin-alpha,43,zscored,
src_out,2345,-1.031600093954234,-1.0316000939542427,0.10666144387075427,0.11006983347955177,-9.372232712116164,0.0,0.3564361726688378,"cluster_2way(u,v)",0.47144656812597563,0.9424307036247335,bitcoin-alpha,43,zscored,0.0
src_in,2345,-0.34904711292289614,-0.34904711292290264,0.09579089479928553,0.11242942623232514,-3.104588581654968,0.001905438618841515,0.7053598979206392,"cluster_2way(u,v)",0.47144656812597563,0.9424307036247335,bitcoin-alpha,43,zscored,0.00254058482512202
tgt_out,2345,0.18093413049063714,0.18093413049063636,0.0985142690608298,0.09765012335316978,1.8528817402130187,0.06389931085260447,1.1983362428731068,"cluster_2way(u,v)",0.47144656812597563,0.9424307036247335,bitcoin-alpha,43,zscored,0.06389931085260447
tgt_in,2345,-1.3269361015250165,-1.3269361015250105,0.09517619187030708,0.09531721278057446,-13.921264195793233,0.0,0.2652888354328768,"cluster_2way(u,v)",0.47144656812597563,0.9424307036247335,bitcoin-alpha,43,zscored,0.0
const,2348,5.720392327716228,,0.2834954931675306,0.34972468625289876,16.356844548227294,0.0,305.02456907770886,"cluster_2way(u,v)",0.4090291081196167,0.9433560477001703,bitcoin-alpha,44,raw,
src_out,2348,-3.9330021499436927,-1.0907322469566907,0.37325784722697325,0.5115815917365383,-7.687927426382393,1.4876988529977098e-14,0.01958478773736619,"cluster_2way(u,v)",0.4090291081196167,0.9433560477001703,bitcoin-alpha,44,raw,2.9753977059954195e-14
src_in,2348,0.20446026712272988,0.050346070590867424,0.4163516827926437,0.5580293264886517,0.3663969928055168,0.7140688633594401,1.2268627080919132,"cluster_2way(u,v)",0.4090291081196167,0.9433560477001703,bitcoin-alpha,44,raw,0.7140688633594401
tgt_out,2348,0.34773261753351825,0.09700379783865289,0.3326758128724145,0.4021095333065696,0.8647708863654465,0.3871645535664907,1.4158536246890827,"cluster_2way(u,v)",0.4090291081196167,0.9433560477001703,bitcoin-alpha,44,raw,0.5162194047553209
tgt_in,2348,-4.213093624453407,-1.1277764346278607,0.327788894145393,0.35049475396055096,-12.020418499409555,0.0,0.014800510220422735,"cluster_2way(u,v)",0.4090291081196167,0.9433560477001703,bitcoin-alpha,44,raw,0.0
const,2348,4.214296918718527,,0.19006610883387332,0.22523303240720438,18.71082972900438,0.0,67.64658809752395,"cluster_2way(u,v)",0.4090291081196167,0.9433560477001703,bitcoin-alpha,44,zscored,
