term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,node_variant,twohop_variant,pooled,pooled_spec,p_fdr
const,76942,5.026281852115031,,0.051371565642159035,0.07984984898951061,62.94666697209788,0.0,152.36544094963403,"cluster_2way(u,v)",0.15454482007571146,0.9200566660601492,epinions,GINEConv,marginal3,inout_inout,in,False,,
b_src,76942,-2.476146336327615,-0.8006252989490006,0.046396007021869426,0.13970642644358439,-17.72392580184936,0.0,0.08406656644175811,"cluster_2way(u,v)",0.15454482007571146,0.9200566660601492,epinions,GINEConv,marginal3,inout_inout,in,False,,0.0
b_tgt,76942,-1.5179278828578935,-0.48337369633529315,0.04421376245681907,0.08355862139972965,-18.16602353450035,0.0,0.2191655534651055,"cluster_2way(u,v)",0.15454482007571146,0.9200566660601492,epinions,GINEConv,marginal3,inout_inout,in,False,,0.0
b_2hop,76942,-1.0365799876075905,-0.2723680704879543,0.060195968147933925,0.1531030816228134,-6.770471087977978,1.283639861071606e-11,0.3546655707983913,"cluster_2way(u,v)",0.15454482007571146,0.9200566660601492,epinions,GINEConv,marginal3,inout_inout,in,False,,2.315375448780517e-11
const,82681,3.882380755751911,,0.051112388825371245,0.07639119288371268,50.82236065696614,0.0,48.539638643055824,"cluster_2way(u,v)",0.1315885935958342,0.9162322661796544,epinions,GINEConv,marginal3,inout_inout,inout,False,,
b_src,82681,-2.2419053463475893,-0.7330006254331738,0.04012381971908296,0.10148250117848365,-22.091546033188614,0.0,0.10625585717462618,"cluster_2way(u,v)",0.1315885935958342,0.9162322661796544,epinions,GINEConv,marginal3,inout_inout,inout,False,,0.0
b_tgt,82681,-1.7296888397798933,-0.5506973915602136,0.042788256398800226,0.0847141181685179,-20.41795248743666,0.0,0.17733958240919453,"cluster_2way(u,v)",0.1315885935958342,0.9162322661796544,epinions,GINEConv,marginal3,inout_inout,inout,False,,0.0
b_2hop,82681,0.47542133999894637,0.12167102040208844,0.06110785524005027,0.12111876974699677,3.9252490839532723,8.664003958802624e-05,1.6086918609393914,"cluster_2way(u,v)",0.1315885935958342,0.9162322661796544,epinions,GINEConv,marginal3,inout_inout,inout,False,,0.00013343492727995484
const,75997,3.193070512923005,,0.041114807421501524,0.0580678719940665,54.98859185418883,0.0,24.363119986964907,"cluster_2way(u,v)",0.10591574410633653,0.9290235140860823,epinions,SiGAT,marginal3,out_out,out,False,,
b_src,75997,-2.3945216097780357,-0.8462153772138996,0.03847612968422093,0.056962333787680994,-42.03692950333241,0.0,0.09121630547513077,"cluster_2way(u,v)",0.10591574410633653,0.9290235140860823,epinions,SiGAT,marginal3,out_out,out,False,,0.0
b_tgt,75997,-0.08802916004163694,-0.03395198689435835,0.044036620783347344,0.060594846737925166,-1.4527499413005553,0.14629319528443374,0.9157341734873665,"cluster_2way(u,v)",0.10591574410633653,0.9290235140860823,epinions,SiGAT,marginal3,out_out,out,False,,0.17220343423126805
b_2hop,75997,0.5165461253680316,0.16366811612014578,0.05648432312368413,0.07990275707660602,6.464684627500373,1.0151035567673716e-10,1.6762281581929148,"cluster_2way(u,v)",0.10591574410633653,0.9290235140860823,epinions,SiGAT,marginal3,out_out,out,False,,1.7972325267356743e-10
const,70480,4.687031043553026,,0.0573886694183897,0.08396672559992467,55.82010028454928,0.0,108.53047873720737,"cluster_2way(u,v)",0.1596910688459583,0.9377128263337117,epinions,SiGAT,marginal3,out_out,in,False,,
b_src,70480,-2.9408735615082233,-1.0470429705436237,0.046193096654366446,0.0677062194209598,-43.435796395948486,0.0,0.05281956743792349,"cluster_2way(u,v)",0.1596910688459583,0.9377128263337117,epinions,SiGAT,marginal3,out_out,in,False,,0.0
b_tgt,70480,0.130235322726704,0.05015510599262079,0.04255846276562722,0.05938543057598379,2.1930517546735238,0.028303650456718232,1.1390964070598348,"cluster_2way(u,v)",0.1596910688459583,0.9377128263337117,epinions,SiGAT,marginal3,out_out,in,False,,0.0363904077300663
b_2hop,70480,-1.1047825032803733,-0.29038529215291203,0.0703473233671265,0.1166785209530816,-9.468602226493983,0.0,0.33128292735687737,"cluster_2way(u,v)",0.1596910688459583,0.9377128263337117,epinions,SiGAT,marginal3,out_out,in,False,,0.0
const,76219,3.666264126307857,,0.05679254567569856,0.08984775371229872,40.80529534491861,0.0,39.105539271612045,"cluster_2way(u,v)",0.1035687967290142,0.9289153623112347,epinions,SiGAT,marginal3,out_out,inout,False,,
b_src,76219,-2.3274272953925252,-0.8231270822400443,0.03779060248871078,0.05636790304102366,-41.28993930639323,0.0,0.09754638257364774,"cluster_2way(u,v)",0.1035687967290142,0.9289153623112347,epinions,SiGAT,marginal3,out_out,inout,False,,0.0
b_tgt,76219,0.16880414931581633,0.06509949686287633,0.041371586063499624,0.05810190063155673,2.9053120032382242,0.0036688717582613606,1.1838882508930615,"cluster_2way(u,v)",0.1035687967290142,0.9289153623112347,epinions,SiGAT,marginal3,out_out,inout,False,,0.005213659867002986
