term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,seed,scale,p_fdr
ds_bitcoin-alpha,127186,2.6523583784916323,0.35524346759402997,0.1076332798603243,0.10908175541277017,24.31532540391371,0.0,14.187458618669877,"cluster_2way(u,v)",0.2444731139098889,0.8975909298193198,47,zscored,
ds_bitcoin-otc,127186,2.528574259862666,0.4062235188207468,0.07517615613739147,0.10041823625095819,25.180428916750053,0.0,12.53562085201868,"cluster_2way(u,v)",0.2444731139098889,0.8975909298193198,47,zscored,
ds_epinions,127186,2.9652426905840548,1.4728150739395196,0.018828698913982457,0.03535671571912751,83.86646299785978,0.0,19.39941072453639,"cluster_2way(u,v)",0.2444731139098889,0.8975909298193198,47,zscored,
ds_wiki-elec,127186,3.1948565633104966,0.5632322019086828,0.05266489305118815,0.05709039437835673,55.961367899074865,0.0,24.406672628886966,"cluster_2way(u,v)",0.2444731139098889,0.8975909298193198,47,zscored,
ds_wiki-rfa,127186,3.232152766617156,0.8654300925345616,0.03597343013839995,0.042193937860549736,76.60230190648161,0.0,25.334136792713803,"cluster_2way(u,v)",0.2444731139098889,0.8975909298193198,47,zscored,
ds_slashdot090221,127186,2.965373550252659,1.3427525652762586,0.02348013176690449,0.03237852769912967,91.58457042295866,0.0,19.401949491102375,"cluster_2way(u,v)",0.2444731139098889,0.8975909298193198,47,zscored,
src_out,126919,-2.6143816984845367,-0.974269136193896,0.031565287508797155,0.054399729671011275,-48.05872592189917,0.0,0.07321304243940342,"cluster_2way(u,v)",0.23684002189262776,0.8956421024432906,48,raw,0.0
src_in,126919,-0.4428850432833843,-0.14928120662921865,0.031431712225719645,0.05242242909532331,-8.44838842698525,0.0,0.6421810258669383,"cluster_2way(u,v)",0.23684002189262776,0.8956421024432906,48,raw,0.0
tgt_out,126919,0.022249306176687803,0.008567240492232849,0.026569095330924112,0.033069500637278176,0.6728044194174158,0.5010717257906583,1.0224986679306778,"cluster_2way(u,v)",0.23684002189262776,0.8956421024432906,48,raw,0.5010717257906583
tgt_in,126919,-2.421154669649356,-0.7929332232461612,0.03566076965486845,0.05348683234085542,-45.26636863106921,0.0,0.08881900162163218,"cluster_2way(u,v)",0.23684002189262776,0.8956421024432906,48,raw,0.0
ds_bitcoin-alpha,126919,4.572070462443576,0.6136385152694247,0.10296221604468372,0.11739950954608419,38.944544829200055,0.0,96.74420780252362,"cluster_2way(u,v)",0.23684002189262776,0.8956421024432906,48,raw,
ds_bitcoin-otc,126919,4.583464523716435,0.7375263193524865,0.07922864131828293,0.09437010773791821,48.56902925707676,0.0,97.85282104387008,"cluster_2way(u,v)",0.23684002189262776,0.8956421024432906,48,raw,
ds_epinions,126919,4.95241549638277,2.4603050810986002,0.032782246316493006,0.05676921604138761,87.23769397788072,0.0,141.51638371930554,"cluster_2way(u,v)",0.23684002189262776,0.8956421024432906,48,raw,
